accuracy,precision,recall,f1,auroc,udr,evt_threshold,train_recon_error_mean,test_recon_error_mean,optimizer,final_train_loss,final_val_loss,best_val_loss,epochs_ran,dataset
0.7034884228044498,0.8228487562093091,0.7034884228044498,0.7381712256661525,0.8251264594350641,0.7187779355313667,0.007203885703347623,0.0486864373087883,0.3535754680633545,AdamW,1.3544771084709772,1.3331820618808945,1.3327235105086346,500,CICIDS2017
0.7045560403252396,0.7957837258106416,0.7045560403252396,0.7343756652596949,0.7864634518463859,0.6146184992375243,0.003009342704899609,0.5898767709732056,0.9581813812255859,SGD,2.133219330218914,2.0969214058246743,2.0969214058246743,500,CICIDS2017
0.6697712472459131,0.8321389529010056,0.6697712472459131,0.7086989497689062,0.8579829479695751,0.8280906557290845,0.008277707966044545,0.025589799508452415,0.3174293339252472,RMSprop,1.6086424627001323,1.5814668888948402,1.57937372541752,168,CICIDS2017
0.6620240423278947,0.8321899309068959,0.6620240423278947,0.7042877750804791,0.8485554846471505,0.8006625650733554,0.011499073822051287,0.028694916516542435,0.32783442735671997,CRAZYFOX,1.885182313367623,1.3221660749712227,1.3205019495114176,500,CICIDS2017
0.660094655108951,0.8335466301539708,0.660094655108951,0.7026996570451728,0.8479312330795019,0.8069937424409739,0.0035430225543677807,0.026389792561531067,0.6228917241096497,ABAO-V2,1.3974288661463732,1.3754629834709253,1.3226870071320307,466,CICIDS2017
0.6520613566069301,0.8263569567593577,0.6520613566069301,0.6955995451004225,0.8310495184138792,0.7849503076194984,0.005986781674437225,0.036851704120635986,0.35112011432647705,Adam,1.3418201786590542,1.31690480352259,1.3165605935920663,500,CICIDS2017
0.6495702490584206,0.8267504559398704,0.6495702490584206,0.6934649631584561,0.8413550901207179,0.7888415628122206,0.010307161370292306,0.034786760807037354,0.4196180999279022,Nadam,1.336817775724156,1.3165789850715066,1.313664954806131,500,CICIDS2017
0.7134267848553563,0.8944774025717485,0.7134267848553563,0.7842269976319206,0.7252391268354984,0.5843920145190563,0.000386466366762761,0.009176422841846943,0.06743571907281876,ABAO-V2,1.3588573363136875,1.3447346074921847,1.343531981401867,245,Gas Pipeline
0.7093382807668522,0.8920879512809938,0.7093382807668522,0.7812823004888189,0.7441661759504455,0.5753176043557169,0.00022060718765715137,0.009015924297273159,0.062309324741363525,Nadam,1.3606570511711953,1.3478144374936436,1.3449971714350721,392,Gas Pipeline
0.6999587713873429,0.8988809969270397,0.6999587713873429,0.7776954638932441,0.7529248328678282,0.5753176043557169,0.0001760029699653387,0.008316796272993088,0.0657021626830101,Adam,1.3579297353764885,1.3465010539241444,1.345910930402316,428,Gas Pipeline
0.6045832474403903,0.912686640847651,0.6045832474403903,0.6972700056927845,0.726510497619616,0.6696914700544465,0.0003745495414477773,0.01349174976348877,0.07348676770925522,AdamW,1.365801385903112,1.3514445261587462,1.3487689473770264,275,Gas Pipeline
0.6015598158455301,0.9129000895475007,0.6015598158455301,0.6964999427203817,0.6959156732907266,0.6279491833030852,0.0006573630380444229,0.01690232940018177,0.07948308438062668,CRAZYFOX,2.103415284075318,1.3482894139102706,1.347161047945313,339,Gas Pipeline
0.2222222222222222,0.10198631397476472,0.2222222222222222,0.12223098221496821,0.6313344102078295,0.3956442831215971,0.0003300168245914392,0.4926612675189972,0.452809602022171,SGD,2.2467830603072034,2.173336844965262,2.173336844965262,500,Gas Pipeline
0.08001786573215144,0.0072508964071390175,0.08001786573215144,0.013293686527252255,0.6766008921554576,0.5789473684210527,3.468797331152018e-05,0.015664933249354362,0.1380176842212677,RMSprop,2.1645839816220525,2.1331507277716324,2.086167530465043,52,Gas Pipeline
0.7442220533175689,0.9876509448712113,0.7442220533175689,0.8461612794979828,0.8885756310440036,0.896551724137931,0.00011812051525339484,0.05673031136393547,0.16305625438690186,Nadam,0.9864025930437735,1.0097745981920796,1.0097745981920796,500,NSL-KDD
0.7428145145398756,0.9862158599706596,0.7428145145398756,0.843696510604026,0.905203016342733,0.9655172413793104,0.00012387997776386328,0.0722261518239975,0.20091865956783295,ABAO-V2,0.9985361376099684,1.0511255145629432,1.03531348299845,216,NSL-KDD
0.739577175351181,0.9798206218315331,0.739577175351181,0.8405557996495195,0.89747077213633,0.9655172413793104,0.00017796235624700785,0.07481785118579865,0.18714584410190582,AdamW,1.0233937251086869,1.0491494381972335,1.0462917461121786,229,NSL-KDD
0.741885538946598,0.982820087145302,0.741885538946598,0.83918088563787,0.9038973075585384,0.9310344827586207,0.0001349943850073032,0.06286178529262543,0.18227870762348175,CRAZYFOX,1.375779279632225,1.056324834861768,1.0532912664232195,389,NSL-KDD
0.7382822396757031,0.974251256573763,0.7382822396757031,0.837666272334907,0.8920176892451954,0.896551724137931,0.00012417319521773607,0.06571098417043686,0.19865559041500092,Adam,1.0079591533429386,1.0447368042077092,1.0398722108939205,350,NSL-KDD
0.7432649269487375,0.9005136582910483,0.7432649269487375,0.7987170157835951,0.6185989667024829,0.3103448275862069,0.00023465632330044173,0.8302942514419556,0.6747012734413147,SGD,2.0752554161622547,1.912882776648333,1.912882776648333,500,NSL-KDD
0.3051262562283591,0.14291435013221804,0.3051262562283591,0.1944983333240313,0.9052438197422391,0.9655172413793104,0.00011866583190567326,0.06272245943546295,0.16938650608062744,RMSprop,1.6489769106668088,1.6597307508251753,1.6093827074231526,55,NSL-KDD
0.5389582202930006,0.8176656350247634,0.5389582202930006,0.6424991240615247,0.3739689124993555,0.2845528455284553,-0.10424502193927765,0.002699759788811207,0.09831630438566208,Nadam,1.3208730413021879,1.3050431251810048,1.3046971374814076,500,Water Storage
0.5278350515463918,0.8166681381210007,0.5278350515463918,0.6336944230957898,0.4167795876648537,0.29143214509068166,-0.009766186587512493,0.018938325345516205,0.1454319804906845,RMSprop,1.949056299326139,1.9387185259570099,1.3991165044623137,318,Water Storage
0.5157080846446012,0.8658656941348205,0.5157080846446012,0.6267242957480802,0.40588238100586777,0.3170731707317073,-0.1102752834558487,0.0022711209021508694,0.09771117568016052,ABAO-V2,1.4005528969487562,1.3855882080291821,1.3853253981495928,500,Water Storage
0.48567552902875744,0.8033234549560849,0.48567552902875744,0.601711817289383,0.2984459903304117,0.0906816760475297,-0.049172304570674896,0.6834650635719299,0.4254307746887207,SGD,2.295891060239334,2.1174172471334027,2.1174172471334027,500,Water Storage
0.47710255018990777,0.85587013137448,0.47710255018990777,0.5986279876143282,0.3548563496097598,0.22326454033771106,-0.053000323474407196,0.004401620477437973,0.10748157650232315,CRAZYFOX,1.909100021832746,1.3171005969394234,1.313687829351823,378,Water Storage
0.4702930005425936,0.8392474059402921,0.4702930005425936,0.5908212806517583,0.31454922435906746,0.1569731081926204,-0.09728597849607468,0.0035821094643324614,0.1275133341550827,Adam,1.3193903406401861,1.3059237118415241,1.3050171148222878,500,Water Storage
0.4349701573521432,0.8522530740155972,0.4349701573521432,0.5621199131284721,0.3462116036016171,0.26579111944965605,-0.07523950189352036,0.004333605989813805,0.12550203502178192,AdamW,1.3266398042928977,1.3100793107331723,1.3097417654383026,426,Water Storage
