optimizer,accuracy,precision,recall,f1,auroc,udr,evt_threshold,train_recon_error_mean,test_recon_error_mean,final_train_loss,final_val_loss,best_val_loss,epochs_ran
Nadam,0.6605222008589606,0.8810387467792098,0.6605222008589606,0.7408519168016956,0.7120164524036307,0.6363159342085809,-0.0233997832165187,0.025808189064264297,0.18582499586045742,1.2511876153103283,1.2448027864845588,1.2432834654786726,473.0
ABAO-V2,0.6580110097871961,0.8950263967077998,0.6580110097871961,0.7393368652572999,0.7210639393159003,0.668494042267762,-0.026555478639238572,0.027515872032381594,0.24723931960761547,1.2888438092546963,1.2892278283888088,1.2717144674204852,356.75
Adam,0.6401488420531424,0.8846841540501131,0.6401488420531424,0.725445640495083,0.6976353162214926,0.6034481860764417,-0.022749755164113594,0.0286153985070996,0.1857478003948927,1.2567748520046669,1.253516593373992,1.2518402124276475,444.5
CRAZYFOX,0.6206429868274826,0.8959450597435447,0.6206429868274826,0.7096491477632647,0.7008062037765438,0.6457276928681931,-0.010177223057326046,0.0282151629216969,0.1742694489657879,1.818369224726978,1.2609702301706711,1.2586605233079433,401.5
AdamW,0.620654750737041,0.8919022732260227,0.620654750737041,0.7095292360342321,0.6988298331981568,0.6549444416036949,-0.016870776073119487,0.03533241106197238,0.18492752872407436,1.2675780059439186,1.2609638342425116,1.2593814923590356,357.5
SGD,0.5389296796312392,0.6504017882581349,0.5389296796312392,0.5642588701369103,0.5837107047717776,0.3528223214982145,-0.011399572179470852,0.6490743383765221,0.6277807578444481,2.1877872167319268,2.075139568642918,2.075139568642918,500.0
RMSprop,0.39568760518820384,0.44974308439034083,0.39568760518820384,0.3875463481789949,0.7141518118830313,0.6659968526550323,-0.00033378120406268863,0.030728879384696484,0.1925663761794567,1.842814913578783,1.8282667233621646,1.6685101169420073,148.25
